VARIABLE	VAR.DESC	VAR.VAL	Value	CATEGORY
HP.V1	Interpretation of HP (Helicobacter pylori) IgG test (mini VIDAS H. pylori IgG/ BioMérieux/ batch 161129-0)	0=negative (HP.V1.T1<0.75) 1=grey zone 2=positive (HP.V1.T1=>1.0)	0	cat
HP.V1	Interpretation of HP (Helicobacter pylori) IgG test (mini VIDAS H. pylori IgG/ BioMérieux/ batch 161129-0)	0=negative (HP.V1.T1<0.75) 1=grey zone 2=positive (HP.V1.T1=>1.0)	1	cat
HP.V1	Interpretation of HP (Helicobacter pylori) IgG test (mini VIDAS H. pylori IgG/ BioMérieux/ batch 161129-0)	0=negative (HP.V1.T1<0.75) 1=grey zone 2=positive (HP.V1.T1=>1.0)	2	cat
HP.V1.QT	Semi-quantitative value of IgG against HP (Helicobacter pylori)	IA		num
HSV1.V1	Interpretation of HSV1 (Herpes Simplex Virus 1) IgG test (ref. 665-3350/ BioPlex 2200 System)	0=negative (HSV1.V1.T1<0.9) 1=grey zone 2=positive(HSV1.V1.T1=>1.1)	0	cat
HSV1.V1	Interpretation of HSV1 (Herpes Simplex Virus 1) IgG test (ref. 665-3350/ BioPlex 2200 System)	0=negative (HSV1.V1.T1<0.9) 1=grey zone 2=positive(HSV1.V1.T1=>1.1)	1	cat
HSV1.V1	Interpretation of HSV1 (Herpes Simplex Virus 1) IgG test (ref. 665-3350/ BioPlex 2200 System)	0=negative (HSV1.V1.T1<0.9) 1=grey zone 2=positive(HSV1.V1.T1=>1.1)	2	cat
HSV2.V1	Interpretation of HSV2 (Herpes Simplex Virus 2) IgG test (ref. 665-3350/ BioPlex 2200 System)	0=negative (HSV2.V1.T1<0.9) 1=grey zone 2=positive(HSV2.V1.T1=>1.1)	0	cat
HSV2.V1	Interpretation of HSV2 (Herpes Simplex Virus 2) IgG test (ref. 665-3350/ BioPlex 2200 System)	0=negative (HSV2.V1.T1<0.9) 1=grey zone 2=positive(HSV2.V1.T1=>1.1)	1	cat
HSV2.V1	Interpretation of HSV2 (Herpes Simplex Virus 2) IgG test (ref. 665-3350/ BioPlex 2200 System)	0=negative (HSV2.V1.T1<0.9) 1=grey zone 2=positive(HSV2.V1.T1=>1.1)	2	cat
ORE.V1	Interpretation of Mumps MMRV IgG test (ref. 665-2450/ BioPlex 2200 System)	0=negative (ORE.V1.T1<=0.8) 1=grey zone 2=positive(ORE.V1.T1=>1.1)	0	cat
ORE.V1	Interpretation of Mumps MMRV IgG test (ref. 665-2450/ BioPlex 2200 System)	0=negative (ORE.V1.T1<=0.8) 1=grey zone 2=positive(ORE.V1.T1=>1.1)	1	cat
ORE.V1	Interpretation of Mumps MMRV IgG test (ref. 665-2450/ BioPlex 2200 System)	0=negative (ORE.V1.T1<=0.8) 1=grey zone 2=positive(ORE.V1.T1=>1.1)	2	cat
ROUG.V1	Interpretation of Measles MMRV IgG test (ref. 665-2450/ BioPlex 2200 System)	0=negative (ROUG.V1.T1<=0.8) 1=grey zone 2=positive(ROUG.V1.T1=>1.1)	0	cat
ROUG.V1	Interpretation of Measles MMRV IgG test (ref. 665-2450/ BioPlex 2200 System)	0=negative (ROUG.V1.T1<=0.8) 1=grey zone 2=positive(ROUG.V1.T1=>1.1)	1	cat
ROUG.V1	Interpretation of Measles MMRV IgG test (ref. 665-2450/ BioPlex 2200 System)	0=negative (ROUG.V1.T1<=0.8) 1=grey zone 2=positive(ROUG.V1.T1=>1.1)	2	cat
TXP.V1	Interpretation of Toxoplasmosis ToRC IgG test (ref. 665-1650/ BioPlex 2200 System)	0=negative (TXP.V1.T1<=9) 1=grey zone 2=positive(TXP.V1.T1=>12)	0	cat
TXP.V1	Interpretation of Toxoplasmosis ToRC IgG test (ref. 665-1650/ BioPlex 2200 System)	0=negative (TXP.V1.T1<=9) 1=grey zone 2=positive(TXP.V1.T1=>12)	1	cat
TXP.V1	Interpretation of Toxoplasmosis ToRC IgG test (ref. 665-1650/ BioPlex 2200 System)	0=negative (TXP.V1.T1<=9) 1=grey zone 2=positive(TXP.V1.T1=>12)	2	cat
VZV.V1	Interpretation of VZV (Varicella Zoster Virus) MMRV IgG test (ref. 665-2450/ BioPlex 2200 System)	0=negative (VZV.V1.T1<=0.8) 1=grey zone 2=positive(VZV.V1.T1=>1.1)	0	cat
VZV.V1	Interpretation of VZV (Varicella Zoster Virus) MMRV IgG test (ref. 665-2450/ BioPlex 2200 System)	0=negative (VZV.V1.T1<=0.8) 1=grey zone 2=positive(VZV.V1.T1=>1.1)	1	cat
VZV.V1	Interpretation of VZV (Varicella Zoster Virus) MMRV IgG test (ref. 665-2450/ BioPlex 2200 System)	0=negative (VZV.V1.T1<=0.8) 1=grey zone 2=positive(VZV.V1.T1=>1.1)	2	cat
ABDOCM.V0	Abdominal circumference V0	cm		num
BMI.V0	BMI (kg/m^2) Visit 1	kg/m^2		num
DIABP1.V0	Diastolic measure 1 (mmHg) Visit 1	mmHg		num
DIABP2.V0	Diastolic measure 2 (mmHg) Visit 1	mmHg		num
FC.V0	Heart rate (bpm) Visit 1	bpm		num
HEIGHT.V0	Height (cm) Visit 1	cm		num
SYSBP1.V0	Systolic measure 1 (mmHg) Visit 1	mmHg		num
TEMP.V0	Ear temperature (°C) Visit 1	°C		num
WEIGHT.V0	Weight (kg) Visit 1	kg		num
SEASON	Season of sampling	0=winter(jan-mar) 1=spring(apr-jun) 2=summer(jul-sept) 3=autumn(oct-dec)	0	cat
SEASON	Season of sampling	0=winter(jan-mar) 1=spring(apr-jun) 2=summer(jul-sept) 3=autumn(oct-dec)	1	cat
SEASON	Season of sampling	0=winter(jan-mar) 1=spring(apr-jun) 2=summer(jul-sept) 3=autumn(oct-dec)	2	cat
SEASON	Season of sampling	0=winter(jan-mar) 1=spring(apr-jun) 2=summer(jul-sept) 3=autumn(oct-dec)	3	cat
